INDEX,TIMESTAMP,TWEET,USER NAME,ID,USER LOCATION,USER DESCRIPTION,FOLLOWERS COUNT,VERIFIED STATUS,FRIENDS COUNT,STATUSES COUNT,CREATION TIME,GEO ENABLED,LOCATION,REPLY COUNT,RETWEET COUNT,LIKE COUNT,RETWEETED,FAVORITED,HASHTAGS,LANGUAGE,TAG,SEVERITY-SCORE
1788,Sun Nov 03 20:23:56 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Chris Confalone,ChrisConfalone,"Clifton, New Jersey","I'm a proud #NewJersey native, WVU Alum, a politics/sports junkie.",91,False,389,40122,Fri Jul 15 19:46:04 +0000 2011,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1789,Sun Nov 03 20:23:58 +0000 2019,That was a blitz! I know KC may  have forgotten what those are!! It’s what to do to pressure the QB !!   #MINvsKC,Prayr,Prayr__,,,40,False,237,1101,Fri Oct 23 01:11:55 +0000 2009,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,1.7754999999999999
1790,Sun Nov 03 20:24:00 +0000 2019,RT @WhoDatTrap: tyreek a fuckin show off https://t.co/LzEw0XjEq0,Smh.... 🎄,Tyketee_,,Smh @nickiminaj • @saints • @gatorsfb all drive me crazy but I love em so much @daveeast too *fan account*,25,False,36,3845,Thu Oct 03 11:46:46 +0000 2019,False,,0,0,0,False,False,[],en,MINvsKC,5.0
1791,Sun Nov 03 20:24:00 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Josh Walker,joshw0530,"Columbus, OH",Sports fan. Rock/metal music. Dog lover. I run on pizza & caffeine. Awkward AF. 90s kid for life. Frequently political. I RT a lot. #Cubs #OhioState #Colts #CBJ,3027,False,4697,189500,Sun Sep 04 06:30:04 +0000 2011,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1792,Sun Nov 03 20:24:02 +0000 2019,Tyreek Hill ran 22 MPH!! Wow!! 😂😂 #MINvsKC,KARRIE,JMO102324,"New Jersey, USA","Live to LAUGH! Major sports fan, BIG BROTHER/Reality TV, Stand Up Comedians, Love Opie & Anthony and WFAN Sports talk radio NY",1261,False,1755,21155,Sun May 21 05:15:23 +0000 2017,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,8.578
1793,Sun Nov 03 20:24:05 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Anthony Hildebrand,BigAnthony_1981,"Bakersfield, CA",I am 37 hit me up if you want to know more,140,False,103,20562,Sun Apr 14 23:32:31 +0000 2019,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1794,Sun Nov 03 20:24:05 +0000 2019,Somebody guard Hill man 🏃🏽💨💨😴 Man out here having a free day🤦🏽‍♂️ #MINvsKC,⚡️uper ⚡️aíyan 4,__MostDope,ҬӉЄ ԌᗋしᗋӼү✈฿ᗋү ᗋГЄᗋ,😳🥩#Food 🏈🏀⚽ #Sportz ❄Ᏸooty & Music🥁🎧 Ꭾositive Ꮙibes🌸✨ Its Tity Lit😎🔥🔞 ℬᏕʉ'21🗣🎓 D B Z ✨㊙️💫🐲 & The GS-Ꮃ A R R I O R S 💙✨ V I K I N G S💜,917,False,828,39495,Sun Sep 23 14:27:12 +0000 2012,True,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,7.553000000000001
1795,Sun Nov 03 20:24:11 +0000 2019,"For the life of me, I simply don't get it! Explosive TD run on the last drive. Not ONE SINGLE run play on this drive!!!

#MINvsKC",B.J. 🤓,bjaustintx,"San Antonio, TX","#God 📿 #Texas 🇺🇲🇲🇽🐂 #Family 🤵🏾👰🏻🙍🏾‍♂️ #Mizzou Alum 🐯

Unity is strength.",192,False,983,8747,Thu Feb 03 15:37:14 +0000 2011,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,7.763
1796,Sun Nov 03 20:24:14 +0000 2019,"RT @ChiefsFocus: Butker with another field goal to extend their lead by 4 points in the 3rd quarter

#ChiefsKingdom | #MINvsKC",betty black@B1591674,bettyjoanblack2,"Missouri, USA",Born and raised in Tampa. Live in KC.,1236,False,1226,20127,Tue Oct 27 01:44:35 +0000 2015,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.8895
1797,Sun Nov 03 20:24:15 +0000 2019,RT @Chiefs: End of 1. #MINvsKC https://t.co/fcS1RDZBh3,Ela,PoisonedDiamond,,Just trying to find herself somehow in the rat maze.,647,False,1227,28421,Sat Jul 25 13:29:11 +0000 2009,False,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,5.0
